id,rank
24,74
25,73
26,85
27,66
20,67
21,77
22,46
23,22
28,28
29,88
4,23
8,82
59,86
58,37
55,30
54,26
57,64
56,11
51,4
50,16
53,44
52,69
88,63
89,6
82,50
83,54
80,91
81,58
86,42
87,1
84,27
85,34
3,48
7,39
39,29
38,19
33,90
32,87
31,84
30,61
37,45
36,38
35,40
34,76
60,72
61,8
62,21
63,32
64,14
65,53
66,83
67,18
68,78
69,49
2,62
6,52
91,31
90,17
11,71
10,75
13,25
12,2
15,56
14,15
17,33
16,35
19,81
18,10
48,70
49,51
46,12
47,80
44,55
45,59
42,43
43,5
40,79
41,7
1,3
5,68
9,9
77,89
76,57
75,24
74,47
73,41
72,20
71,36
70,60
79,13
78,65
